ClubName,MatchesPlayed,MatchesWon,MatchesDrawn,MatchesLost,GoalsScored,GoalsConceded,CleanSheets,Points,PointsPerGame,Logo,Season,Position
Arsenal,38,21,10,7,72,37,14,73,1.92,arsenal.jpg,2012,4
Aston Villa,38,10,11,17,47,69,5,41,1.08,astonvilla.jpg,2012,15
Chelsea,38,22,9,7,75,39,14,75,1.97,chelsea.jpg,2012,3
Everton,38,16,15,7,55,40,11,63,1.66,everton.jpg,2012,6
Fulham,38,11,10,17,50,60,8,43,1.13,fulham.jpg,2012,12
Liverpool,38,16,13,9,71,43,16,61,1.61,liverpool.jpg,2012,7
Manchester City,38,23,9,6,66,34,18,78,2.05,city.jpg,2012,2
Manchester United,38,28,5,5,86,43,13,89,2.34,manu.jpg,2012,1
Newcastle United,38,11,8,19,45,68,6,41,1.08,newcastle.jpg,2012,16
Norwich City,38,10,14,14,41,58,10,44,1.16,norwich.jpg,2012,11
Queens Park Rangers,38,4,13,21,30,60,7,25,0.66,qpr.jpg,2012,20
Reading,38,6,10,22,43,73,5,28,0.74,reading.jpg,2012,19
Southampton,38,9,14,15,49,60,7,41,1.08,southampton.jpg,2012,14
Stoke City,38,9,15,14,34,45,12,42,1.11,stoke.jpg,2012,13
Sunderland,38,9,12,17,41,54,11,39,1.03,sunderland.jpg,2012,17
Swansea City,38,11,13,14,47,51,10,46,1.21,swansea.jpg,2012,9
Tottenham Hotspur,38,21,9,8,66,46,9,72,1.89,tottenham.jpg,2012,5
West Bromwich Albion,38,14,7,17,53,57,8,49,1.29,westbrom.jpg,2012,8
West Ham United,38,12,10,16,45,53,11,46,1.21,westham.jpg,2012,10
Wigan Athletic,38,9,9,20,47,73,5,36,0.95,wigan.jpg,2012,18
